Reg. No, Exam, Coursework, Total, Grade
2148289, 99.0, 85.0, 94.0, Distinctio
2062946, 92.0, 88.0, 90.0, Distinctio
2000885, 99.0, 70.0, 89.0, Distinctio
2161023, 94.0, 74.0, 87.0, Distinctio
2076842, 94.0, 74.0, 87.0, Distinctio
2062472, 99.0, 65.0, 87.0, Distinctio
2064255, 99.0, 61.0, 85.0, Distinctio
1874468, 88.0, 79.0, 85.0, Distinctio
2137836, 90.0, 75.0, 84.0, Distinctio
2074424, 95.0, 65.0, 84.0, Distinctio
1894832, 86.0, 76.0, 83.0, Distinctio
1826898, 89.0, 71.0, 83.0, Distinctio
2097130, 92.0, 63.0, 82.0, Distinctio
2079175, 84.0, 75.0, 81.0, Distinctio
1861439, 89.0, 67.0, 81.0, Distinctio
2108649, 90.0, 60.0, 80.0, Distinctio
2157625, 80.0, 78.0, 79.0, Distinctio
2114609, 86.0, 68.0, 79.0, Distinctio
2050062, 86.0, 66.0, 79.0, Distinctio
1960585, 85.0, 68.0, 79.0, Distinctio
2150417, 93.0, 52.0, 78.0, Distinctio
2092148, 83.0, 69.0, 78.0, Distinctio
2060769, 87.0, 63.0, 78.0, Distinctio
1881500, 91.0, 53.0, 78.0, Distinctio
1853120, 83.0, 70.0, 78.0, Distinctio
1912054, 84.0, 64.0, 77.0, Distinctio
2000961, 79.0, 72.0, 76.0, Distinctio
1906200, 80.0, 67.0, 76.0, Distinctio
1866637, 75.0, 79.0, 76.0, Distinctio
1819403, 84.0, 62.0, 76.0, Distinctio
2154052, 92.0, 44.0, 75.0, Distinctio
2079443, 71.0, 78.0, 74.0, Distinctio
1950015, 72.0, 79.0, 74.0, Distinctio
1887043, 87.0, 49.0, 74.0, Distinctio
2017351, 66.0, 87.0, 73.0, Distinctio
1954634, 71.0, 73.0, 72.0, Distinctio
1810558, 66.0, 82.0, 72.0, Distinctio
1809729, 82.0, 56.0, 72.0, Distinctio
2144799, 63.0, 85.0, 71.0, Distinctio
2049663, 77.0, 60.0, 71.0, Distinctio
1865255, 71.0, 72.0, 71.0, Distinctio
1994589, 70.0, 72.0, 70.0, Distinctio
1961422, 65.0, 81.0, 70.0, Distinctio
2179184, 63.0, 82.0, 69.0, Merit
2151848, 72.0, 64.0, 69.0, Merit
1926706, 71.0, 65.0, 69.0, Merit
1942707, 77.0, 47.0, 67.0, Merit
1855520, 69.0, 63.0, 67.0, Merit
2196282, 67.0, 65.0, 66.0, Merit
1998864, 58.0, 81.0, 66.0, Merit
2132811, 62.0, 69.0, 65.0, Merit
2123799, 69.0, 60.0, 65.0, Merit
1925875, 66.0, 65.0, 65.0, Merit
2032673, 68.0, 58.0, 64.0, Merit
1886428, 57.0, 79.0, 64.0, Merit
2141245, 51.0, 86.0, 63.0, Merit
2135999, 70.0, 52.0, 63.0, Merit
2033662, 63.0, 64.0, 63.0, Merit
2151786, 60.0, 62.0, 61.0, Merit
1842982, 55.0, 74.0, 61.0, Merit
2174048, 48.0, 84.0, 60.0, Merit
1984918, 50.0, 80.0, 60.0, Merit
2105953, 64.0, 50.0, 59.0, Pass
1998789, 66.0, 45.0, 59.0, Pass
1870975, 58.0, 62.0, 59.0, Pass
1829542, 46.0, 82.0, 58.0, Pass
1805315, 65.0, 47.0, 58.0, Pass
2187019, 53.0, 62.0, 56.0, Pass
1892326, 45.0, 78.0, 56.0, Pass
2127098, 56.0, 53.0, 55.0, Pass
2123826, 51.0, 63.0, 55.0, Pass
2124991, 39.0, 83.0, 54.0, Pass
2052743, 52.0, 58.0, 54.0, Pass
1892812, 61.0, 43.0, 54.0, Pass
1889587, 51.0, 61.0, 54.0, Pass
2133651, 50.0, 61.0, 53.0, Pass
2131267, 51.0, 55.0, 52.0, Pass
1870674, 38.0, 79.0, 52.0, Pass
2183642, 36.0, 79.0, 51.0, Pass
2103688, 43.0, 67.0, 51.0, Pass
1970134, 36.0, 78.0, 51.0, Pass
1862286, 42.0, 70.0, 51.0, Pass
2001718, 40.0, 70.0, 50.0, Pass
2178013, 38.0, 69.0, 49.0, Pass
1948353, 41.0, 65.0, 49.0, Pass
1881208, 43.0, 61.0, 49.0, Pass
2134020, 47.0, 46.0, 46.0, Pass
1867666, 39.0, 56.0, 45.0, Pass
1842475, 38.0, 58.0, 45.0, Pass
1908168, 31.0, 67.0, 44.0, Fail
2130060, 36.0, 58.0, 43.0, Fail
1989431, 30.0, 65.0, 42.0, Fail
1805842, 31.0, 47.0, 37.0, Fail
2106248, 24.0, 60.0, 36.0, Fail
1930957, 29.0, 49.0, 36.0, Fail
2061759, 14.0, 72.0, 34.0, Fail
1880880, 18.0, 57.0, 32.0, Fail
1959590, 0.0, 76.0, 26.0, Fail
2038682, 0.0, 69.0, 24.0, Fail
2074067, 6.0, 53.0, 23.0, Fail
